                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     47,               0.043073,               0.018748,               0.037309,              0.0020285,                0.53524,                 0.5739,                0.57403,                0.37863,                0.53524,                 0.5739,                0.57403,                0.36721,               0.036582,               0.013614,               0.018512,              0.0025421,                0.00793,                0.00793,                0.00793
                     48,               0.039404,               0.016106,               0.032693,              0.0021797,                0.74036,                 0.5739,                0.59761,                0.40956,                0.73365,                0.56447,                0.58367,                0.41451,                0.04358,               0.014844,               0.019879,              0.0025112,               0.007885,               0.007885,               0.007885
                     49,               0.040021,               0.015835,               0.033074,              0.0019695,                0.77147,                 0.5739,                0.64934,                0.51665,                0.77147,                 0.5739,                0.64934,                0.48086,               0.027749,               0.014006,                0.01768,              0.0024833,                0.00784,                0.00784,                0.00784
                     50,               0.038138,               0.017578,                0.03383,              0.0019734,                0.45285,                0.55503,                0.52478,                0.30041,                0.46449,                 0.5739,                0.53168,                0.30112,               0.054054,               0.013975,               0.019955,              0.0023988,               0.007795,               0.007795,               0.007795
                     51,               0.047019,               0.017466,               0.035996,              0.0020182,                0.47251,                 0.5739,                0.54697,                0.36895,                0.47251,                 0.5739,                0.54697,                0.38439,               0.033891,               0.013706,               0.018317,              0.0025846,                0.00775,                0.00775,                0.00775
                     52,               0.038825,               0.017116,               0.042447,              0.0018383,                0.50966,                 0.5739,                0.58249,                0.38136,                0.50966,                 0.5739,                0.58249,                0.37772,               0.042255,               0.013478,               0.018793,              0.0023643,               0.007705,               0.007705,               0.007705
                     53,               0.041399,               0.016504,               0.034277,              0.0016769,                0.46639,                 0.5739,                0.54821,                0.38772,                0.46639,                 0.5739,                0.54821,                0.36217,               0.038695,               0.013426,               0.019314,              0.0025299,                0.00766,                0.00766,                0.00766
                     54,               0.039878,               0.016315,               0.038439,              0.0019673,                0.52836,                 0.5739,                0.56296,                0.41689,                0.52836,                 0.5739,                0.56296,                 0.4065,               0.030654,               0.013311,               0.017582,              0.0025569,               0.007615,               0.007615,               0.007615
                     55,               0.039156,               0.017544,               0.036397,              0.0019341,                0.73011,                0.90723,                0.82522,                0.62813,                0.73011,                0.90723,                0.82522,                0.63519,               0.027488,               0.013036,               0.016825,              0.0024003,                0.00757,                0.00757,                0.00757
                     56,               0.039849,               0.017668,               0.035102,              0.0019118,                0.66263,                0.92742,                0.86608,                0.66025,                0.66263,                0.92742,                0.86608,                0.62611,               0.039849,               0.013025,               0.017935,              0.0022323,               0.007525,               0.007525,               0.007525
