stored_images\230404_154532_images\image_00010.png,"[0.33417851276288685, 0.05838477316693594, 0.0003835676513967353, 5.985800015867846e-05, 8.254920293243846e-09, 1.3761796035162343e-05, 3.757666300528005e-09, 3002.5191105652484, 2.0575917532221966, 47.8128078817734, 143.6243842364532, 43.0314039408867, 78.59999084472656]"
stored_images\230404_154532_images\image_00011.png,"[0.2429007206846966, 0.031070015881410923, 0.0003475939381422006, 6.24965523451913e-05, 9.164197370862482e-09, 1.0985403232901336e-05, -9.301855004870815e-10, 2730.6589236936125, 2.103017406244042, 64.74244505494505, 93.03571428571429, 53.18681318681319, 75.78009796142578]"
stored_images\230404_154532_images\image_00012.png,"[0.5237190133680133, 0.22623219414602955, 0.000640599443651895, 0.0005998711837573286, 3.718170658907258e-07, 0.0002814845208106627, -5.696252377808393e-09, 4198.259150161612, 4.605572551775226, 70.92395104895105, 93.90034965034965, 42.49694055944056, 139.05174255371094]"
stored_images\230404_154532_images\image_00013.png,"[0.47062344806327483, 0.15227159634737528, 0.07613756025271232, 0.05041825810747089, 0.00312262525840411, 0.01967420930174853, 8.513906879058881e-05, 4309.922636606963, 2.7024820245317667, 77.25580357142857, 98.95803571428571, 46.801339285714285, 107.92353057861328]"
stored_images\230404_154532_images\image_00014.png,"[0.2360519132918651, 0.027454752064139325, 0.0006872193542763961, 0.00013893042400327569, 4.245212345397876e-08, 2.275448843130168e-05, -6.376246155261638e-09, 2935.37521494634, 1.956623661035338, 69.29910714285714, 94.25, 51.767219387755105, 75.78538513183594]"
stored_images\230404_154532_images\image_00015.png,"[0.4452671684925604, 0.1695029299412531, 0.0007441904291784253, 0.00036831129923187394, 1.9168265269312708e-07, 0.00014797581678653105, 2.0963246680954082e-08, 4951.721215068828, 3.971794810019461, 61.20525147928994, 98.62684911242603, 40.70636094674556, 140.2398681640625]"
stored_images\230404_154532_images\image_00016.png,"[0.4508301038131395, 0.13032427702273144, 0.05484193326030966, 0.0346983063479556, 0.0015132404496888403, 0.012492838510005735, 3.419461112415777e-05, 4348.270648505306, 2.6376437607476166, 76.33541666666666, 99.905, 47.68666666666667, 107.09429931640625]"
stored_images\230404_154532_images\image_00017.png,"[0.49098092402260707, 0.2024802476362751, 0.004263662853660018, 0.0005482889271472952, -2.0198680686656005e-07, -8.034969102864397e-05, 8.136142839166791e-07, 1520.326937114165, 3.294709790682619, 61.619505494505496, 158.8956043956044, 32.5989010989011, 70.77454376220703]"
stored_images\230404_154532_images\image_00018.png,"[0.2431447319704411, 0.03238648034457391, 0.00010077469630725499, 2.389552409984258e-05, 1.1282282442960406e-09, 4.122148814673176e-06, 3.1952498983071283e-10, 2738.99913425243, 2.263636275904483, 75.07830459770115, 87.47772988505747, 57.10201149425287, 78.7406997680664]"
stored_images\230404_154532_images\image_00019.png,"[0.4598843237328734, 0.18341260602686862, 0.00030661505547017304, 0.00017967638548702197, 4.2171169550358194e-08, 7.694928137386427e-05, 3.7962306995676183e-10, 4592.226212645415, 4.32169567071461, 57.96033653846154, 94.69270833333333, 42.723958333333336, 140.87655639648438]"
stored_images\230404_154532_images\image_00020.png,"[0.2296415156305645, 0.00841799106557543, 0.00032202601551220924, 0.00027816033874438997, 7.90296667618752e-08, 2.4223651283919527e-05, -2.617257027832129e-08, 2109.0, 1.5405405405405406, 70.63919413919415, 92.60805860805861, 63.04212454212454, 57.0]"
stored_images\230404_154532_images\image_00021.png,"[0.23878287306011164, 0.03033132242813539, 0.00015683490127205626, 3.7279174775729086e-05, 2.825405890159727e-09, 6.425715007479801e-06, 3.7738885544411766e-10, 2799.7117866993067, 2.2558139962974155, 82.27055702917772, 94.47148541114058, 58.55106100795756, 79.47093200683594]"
stored_images\230404_154532_images\image_00022.png,"[0.4420204288784052, 0.16841813267791292, 7.482394694084198e-05, 3.718438000474107e-05, 1.936085506631187e-09, 1.3964180449955063e-05, -3.1396409296252766e-10, 4250.687834962562, 4.704819309983173, 60.33479020979021, 88.32910839160839, 50.50830419580419, 141.4168243408203]"
stored_images\230404_154532_images\image_00023.png,"[0.206480947646819, 0.006739085710173374, 0.0010255472418341282, 0.00040801081703496035, 2.633110511213002e-07, 3.3257449664965504e-05, -1.8034479312447735e-08, 2838.0, 1.5348837209302326, 80.19661458333333, 90.13020833333333, 62.705729166666664, 66.0]"
stored_images\230404_154532_images\image_00024.png,"[0.6242582125454038, 0.31957388996117336, 0.03532622912388139, 0.013254103025746323, 0.00027237022285847427, 0.006516248567885446, 8.981542374712165e-05, 2246.7252655919874, 2.7115902736345374, 58.22844827586207, 132.43620689655174, 39.157758620689656, 78.05253601074219]"
stored_images\230404_154532_images\image_00025.png,"[0.6186020038597015, 0.32716152846563645, 0.0003310538027484569, 7.169148312725224e-05, 9.882500815939744e-09, 5.058218752006202e-06, -4.931503807031828e-09, 4040.1656234063557, 5.228089740779278, 50.30972222222222, 90.16111111111111, 46.113425925925924, 145.33529663085938]"
