                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     40,               0.056648,               0.018528,               0.035959,              0.0023561,                0.44506,                0.90723,                0.73348,                0.51922,                0.44506,                0.90723,                0.73569,                0.48023,               0.056791,               0.015019,               0.021508,              0.0021981,                0.00883,                0.00883,                0.00883
                     41,               0.062038,               0.020815,               0.039141,              0.0026882,                0.56502,                0.88197,                0.78997,                0.51068,                0.56502,                0.88197,                 0.7995,                0.53628,               0.051818,               0.014624,               0.021226,               0.002118,                 0.0088,                 0.0088,                 0.0088
                     42,               0.056038,                0.01998,               0.043702,              0.0025604,                0.56502,                0.88197,                0.78997,                0.51068,                0.56502,                0.88197,                 0.7995,                0.53628,               0.051818,               0.014624,               0.021226,               0.002118,                0.00877,                0.00877,                0.00877
                     43,                0.06139,               0.018938,                0.03994,              0.0024571,                0.48196,                0.87451,                0.72441,                0.43575,                0.48196,                0.87451,                0.75192,                 0.4852,                0.05865,               0.015048,               0.021249,              0.0020258,                0.00874,                0.00874,                0.00874
                     44,               0.056969,               0.021273,               0.038721,              0.0025099,                0.46774,                 0.8239,                0.74427,                0.42123,                0.46774,                 0.8239,                0.76373,                0.46781,               0.054265,               0.014787,               0.020979,              0.0019642,                0.00871,                0.00871,                0.00871
                     45,               0.049975,               0.020277,               0.037604,               0.002516,                 0.5555,                0.99057,                0.83911,                0.48863,                 0.5555,                0.99057,                 0.8409,                0.53191,               0.042039,               0.015004,               0.020069,              0.0019215,                0.00868,                0.00868,                0.00868
                     46,               0.047453,               0.022089,               0.037626,              0.0023344,                0.44189,                0.83782,                0.70228,                0.39443,                0.44189,                0.83782,                0.70228,                0.41584,               0.042861,               0.015498,               0.020144,              0.0018877,                0.00865,                0.00865,                0.00865
                     47,               0.047899,               0.019838,               0.033827,              0.0023593,                0.35188,                0.74057,                 0.5899,                0.28287,                0.35188,                0.74057,                0.58625,                0.33342,               0.045019,               0.014962,               0.020106,              0.0018751,                0.00862,                0.00862,                0.00862
                     48,               0.055459,               0.020975,               0.039417,              0.0021927,                 0.3298,                 0.7858,                0.53242,                 0.2607,                 0.3298,                 0.7858,                0.61395,                0.30101,               0.055952,               0.015017,                0.02128,              0.0020325,                0.00859,                0.00859,                0.00859
                     49,               0.053029,               0.020216,               0.042279,              0.0025642,                0.67652,                0.73281,                 0.8484,                0.49662,                0.67652,                0.73281,                0.85008,                0.54616,               0.042323,               0.015244,               0.020874,              0.0023497,                0.00856,                0.00856,                0.00856
                     50,               0.049343,               0.017407,               0.038533,              0.0021244,                0.64473,                0.73113,                0.73025,                0.35844,                0.64473,                0.73113,                0.73391,                0.34472,               0.048273,               0.014423,               0.020109,              0.0021493,                0.00853,                0.00853,                0.00853
                     51,               0.051362,               0.018348,               0.040818,              0.0021921,                 0.7553,                 0.6478,                0.75775,                0.50893,                0.75637,                0.65723,                0.75849,                 0.5069,                0.04018,               0.014853,               0.019948,              0.0023423,                 0.0085,                 0.0085,                 0.0085
